p,D,seed,DX,D_diff,time,error
0.0,0.0,10,0.03571428571428571,0.0,0.0,0.45664510960987
0.0,0.0,10,0.03571428571428571,0.0,0.01,0.4383993947407076
0.0,0.0,10,0.03571428571428571,0.0,0.02,0.44718229000448445
0.0,0.0,10,0.03571428571428571,0.0,0.03,0.46509757979540567
0.0,0.0,10,0.03571428571428571,0.0,0.04,0.4822212732378839
0.0,0.0,10,0.03571428571428571,0.0,0.05,0.48253841570238515
0.0,0.0,10,0.03571428571428571,0.0,0.06,0.48484442047360155
0.0,0.0,10,0.03571428571428571,0.0,0.07,0.5116884588609013
0.0,0.0,10,0.03571428571428571,0.0,0.08,0.5311114437240004
0.0,0.0,10,0.03571428571428571,0.0,0.09,0.5101527471355128
0.0,0.0,10,0.03571428571428571,0.0,0.1,0.5483588380846544
0.0,0.0,10,0.03571428571428571,0.0,0.11,0.554268631077954
0.0,0.0,10,0.03571428571428571,0.0,0.12,0.5601654717479927
0.0,0.0,10,0.03571428571428571,0.0,0.13,0.568335002463961
0.0,0.0,10,0.03571428571428571,0.0,0.14,0.5684800250766232
0.0,0.0,10,0.03571428571428571,0.0,0.15,0.569512944147399
0.0,0.0,10,0.03571428571428571,0.0,0.16,0.572947619704443
0.0,0.0,10,0.03571428571428571,0.0,0.17,0.5739716873457871
0.0,0.0,10,0.03571428571428571,0.0,0.18,0.5685838304862865
0.0,0.0,10,0.03571428571428571,0.0,0.19,0.5694190935050087
0.0,0.0,10,0.03571428571428571,0.0,0.2,0.5739941162451163
0.0,0.0,10,0.03571428571428571,0.0,0.21,0.575580352990675
0.0,0.0,10,0.03571428571428571,0.0,0.22,0.5724948423009724
0.0,0.0,10,0.03571428571428571,0.0,0.23,0.5725896012258657
0.0,0.0,10,0.03571428571428571,0.0,0.24,0.5769133474271987
0.0,0.0,10,0.03571428571428571,0.0,0.25,0.5748903415171696
0.0,0.0,10,0.03571428571428571,0.0,0.26,0.5790688179133938
0.0,0.0,10,0.03571428571428571,0.0,0.27,0.5738631944483243
0.0,0.0,10,0.03571428571428571,0.0,0.28,0.5659630796944588
0.0,0.0,10,0.03571428571428571,0.0,0.29,0.5682628318405364
0.0,0.0,10,0.03571428571428571,0.0,0.3,0.5882661099112433
0.0,0.0,10,0.03571428571428571,0.0,0.31,0.6079251859717093
0.0,0.0,10,0.03571428571428571,0.0,0.32,0.6082684627522196
0.0,0.0,10,0.03571428571428571,0.0,0.33,0.6071841144288013
0.0,0.0,10,0.03571428571428571,0.0,0.34,0.6079376505994439
0.0,0.0,10,0.03571428571428571,0.0,0.35000000000000003,0.5939931726175969
0.0,0.0,10,0.03571428571428571,0.0,0.36,0.613929842145514
0.0,0.0,10,0.03571428571428571,0.0,0.37,0.6138707497279469
