seed,DX,D_diff,time,error,mean
10,0.15,0.0,0.0,0.4132818841226395,0.3268796976799442
10,0.15,0.0,0.02,0.377899058697927,0.3268796976799442
10,0.15,0.0,0.04,0.3622698452202866,0.3268796976799442
10,0.15,0.0,0.06,0.3504650445637868,0.3268796976799442
10,0.15,0.0,0.08,0.3372359403621081,0.3268796976799442
10,0.15,0.0,0.1,0.3378431164145201,0.3268796976799442
10,0.15,0.0,0.12,0.335921482575673,0.3268796976799442
10,0.15,0.0,0.14,0.3281518453371581,0.3268796976799442
10,0.15,0.0,0.16,0.3159025389057486,0.3268796976799442
10,0.15,0.0,0.18,0.3195651468929464,0.3268796976799442
10,0.15,0.0,0.2,0.3203712514670881,0.3268796976799442
10,0.15,0.0,0.22,0.3234385457387667,0.3268796976799442
10,0.15,0.0,0.24,0.3206264963997655,0.3268796976799442
10,0.15,0.0,0.26,0.3142904123823416,0.3268796976799442
10,0.15,0.0,0.28,0.320822374285422,0.3268796976799442
10,0.15,0.0,0.3,0.312833091413736,0.3268796976799442
10,0.15,0.0,0.32,0.3051878654795248,0.3268796976799442
10,0.15,0.0,0.34,0.3090729319453532,0.3268796976799442
10,0.15,0.0,0.36,0.3098776760779077,0.3268796976799442
10,0.15,0.0,0.38,0.320096998896219,0.3268796976799442
10,0.15,0.0,0.4,0.3233585502520267,0.3268796976799442
10,0.15,0.0,0.42,0.3248862245916263,0.3268796976799442
10,0.15,0.0,0.44,0.3232744995344781,0.3268796976799442
10,0.15,0.0,0.46,0.3192224079487478,0.3268796976799442
10,0.15,0.0,0.48,0.3195291979478666,0.3268796976799442
10,0.15,0.0,0.5,0.324728842914224,0.3268796976799442
10,0.15,0.0,0.52,0.3248014077971907,0.3268796976799442
10,0.15,0.0,0.54,0.3215445450363739,0.3268796976799442
10,0.15,0.0,0.56,0.3168317237692303,0.3268796976799442
10,0.15,0.0,0.58,0.3150398094406987,0.3268796976799442
10,0.15,0.0,0.6,0.3116835753208332,0.3268796976799442
10,0.15,0.0,0.62,0.3146349700576252,0.3268796976799442
10,0.15,0.0,0.64,0.3080881350483541,0.3268796976799442
10,0.15,0.0,0.66,0.3122347805409542,0.3268796976799442
10,0.15,0.0,0.68,0.3230132475150611,0.3268796976799442
10,0.15,0.0,0.7000000000000001,0.3244833347072826,0.3268796976799442
10,0.15,0.0,0.72,0.3211893445643217,0.3268796976799442
10,0.15,0.0,0.74,0.3171905876766994,0.3268796976799442
10,0.15,5.0,0.0,0.4276823767513172,0.3308424438985683
10,0.15,5.0,0.02,0.3750797314629803,0.3308424438985683
10,0.15,5.0,0.04,0.3704547735770628,0.3308424438985683
10,0.15,5.0,0.06,0.372673892781299,0.3308424438985683
10,0.15,5.0,0.08,0.3760497304398131,0.3308424438985683
10,0.15,5.0,0.1,0.3872825383966509,0.3308424438985683
10,0.15,5.0,0.12,0.3912473538773788,0.3308424438985683
10,0.15,5.0,0.14,0.3929585877194674,0.3308424438985683
10,0.15,5.0,0.16,0.3925342125917062,0.3308424438985683
10,0.15,5.0,0.18,0.3760293579245305,0.3308424438985683
10,0.15,5.0,0.2,0.3542344631989449,0.3308424438985683
10,0.15,5.0,0.22,0.350509922121256,0.3308424438985683
10,0.15,5.0,0.24,0.3461774973026273,0.3308424438985683
10,0.15,5.0,0.26,0.3341698389966597,0.3308424438985683
10,0.15,5.0,0.28,0.32882734948936,0.3308424438985683
10,0.15,5.0,0.3,0.3240742658796937,0.3308424438985683
10,0.15,5.0,0.32,0.3130993141438711,0.3308424438985683
10,0.15,5.0,0.34,0.3133894634809913,0.3308424438985683
10,0.15,5.0,0.36,0.3028310282609443,0.3308424438985683
10,0.15,5.0,0.38,0.3018340404376854,0.3308424438985683
10,0.15,5.0,0.4,0.29607997836865,0.3308424438985683
10,0.15,5.0,0.42,0.2899881530455146,0.3308424438985683
10,0.15,5.0,0.44,0.2863877466253281,0.3308424438985683
10,0.15,5.0,0.46,0.2843730830888224,0.3308424438985683
10,0.15,5.0,0.48,0.283098846033499,0.3308424438985683
10,0.15,5.0,0.5,0.2792715764336422,0.3308424438985683
10,0.15,5.0,0.52,0.2783332295013955,0.3308424438985683
10,0.15,5.0,0.54,0.2777126536518872,0.3308424438985683
10,0.15,5.0,0.56,0.2788120069888436,0.3308424438985683
10,0.15,5.0,0.58,0.2798394897476117,0.3308424438985683
10,0.15,5.0,0.6,0.2850362829944645,0.3308424438985683
10,0.15,5.0,0.62,0.2843720754563276,0.3308424438985683
10,0.15,5.0,0.64,0.278445448164982,0.3308424438985683
10,0.15,5.0,0.66,0.2759503556440111,0.3308424438985683
10,0.15,5.0,0.68,0.2814359777479036,0.3308424438985683
10,0.15,5.0,0.7000000000000001,0.284933970480887,0.3308424438985683
10,0.15,5.0,0.72,0.2850810158002493,0.3308424438985683
10,0.15,5.0,0.74,0.2809434524232638,0.3308424438985683
10,0.15,10.0,0.0,0.4113386868916089,0.3382188297866617
10,0.15,10.0,0.02,0.3745353167687829,0.3382188297866617
10,0.15,10.0,0.04,0.364976891284765,0.3382188297866617
10,0.15,10.0,0.06,0.3424176995465997,0.3382188297866617
10,0.15,10.0,0.08,0.3510874026001216,0.3382188297866617
10,0.15,10.0,0.1,0.3559559732682323,0.3382188297866617
10,0.15,10.0,0.12,0.341683477564666,0.3382188297866617
10,0.15,10.0,0.14,0.3304561413608363,0.3382188297866617
10,0.15,10.0,0.16,0.3272239614067023,0.3382188297866617
10,0.15,10.0,0.18,0.3301286084088192,0.3382188297866617
10,0.15,10.0,0.2,0.3540678474816394,0.3382188297866617
10,0.15,10.0,0.22,0.3529289876493782,0.3382188297866617
10,0.15,10.0,0.24,0.3411343532341048,0.3382188297866617
10,0.15,10.0,0.26,0.3269449802018632,0.3382188297866617
10,0.15,10.0,0.28,0.3261450825553741,0.3382188297866617
10,0.15,10.0,0.3,0.3199412209237123,0.3382188297866617
10,0.15,10.0,0.32,0.3178069587694122,0.3382188297866617
10,0.15,10.0,0.34,0.3208606371604068,0.3382188297866617
