seed,DX,D_diff,time,error
10,0.3,0.0,0.0,0.34093314586577783
10,0.3,0.0,0.02,0.31071538441352187
10,0.3,0.0,0.04,0.2944305629372817
10,0.3,0.0,0.06,0.302963920330417
10,0.3,0.0,0.08,0.27904601109424154
10,0.3,0.0,0.1,0.26136770411081955
10,0.3,0.0,0.12,0.2529941889586479
10,0.3,0.0,0.14,0.2555720703310605
10,0.3,0.0,0.16,0.2534306646898565
10,0.3,0.0,0.18,0.24604796721398134
10,0.3,0.0,0.2,0.24340724057619642
10,0.3,0.0,0.22,0.24104766863136673
10,0.3,0.0,0.24,0.23782723597153055
10,0.3,0.0,0.26,0.23599713271348385
10,0.3,0.0,0.28,0.2409460748741074
10,0.3,0.0,0.3,0.23544281636920011
10,0.3,0.0,0.32,0.2311723342801816
10,0.3,0.0,0.34,0.236412703624043
10,0.3,0.0,0.36,0.24072243442450023
10,0.3,0.0,0.38,0.24028276456657507
10,0.3,0.0,0.4,0.2354627175675733
10,0.3,0.0,0.42,0.2331515825290912
10,0.3,0.0,0.44,0.23384101229187498
10,0.3,0.0,0.46,0.22848448885462405
10,0.3,0.0,0.48,0.23007632056176797
10,0.3,0.0,0.5,0.23065054455435557
10,0.3,0.0,0.52,0.22845889941892492
10,0.3,0.0,0.54,0.2324107256986555
10,0.3,0.0,0.56,0.2294914923373025
10,0.3,0.0,0.58,0.23198062909051154
10,0.3,0.0,0.6,0.2343879969466038
10,0.3,0.0,0.62,0.22944288574178984
10,0.3,0.0,0.64,0.23126828184209952
10,0.3,0.0,0.66,0.23613363796750947
10,0.3,0.0,0.68,0.23669098996382074
10,0.3,0.0,0.7000000000000001,0.23716604718249218
10,0.3,0.0,0.72,0.23964065990571037
10,0.3,0.0,0.74,0.240126539210972
10,0.3,5.0,0.0,0.36914766914094443
10,0.3,5.0,0.02,0.33801754194245437
10,0.3,5.0,0.04,0.3418520458392436
10,0.3,5.0,0.06,0.32647880490532294
10,0.3,5.0,0.08,0.30408158530099544
10,0.3,5.0,0.1,0.2890814872664687
10,0.3,5.0,0.12,0.27533964794120397
10,0.3,5.0,0.14,0.2533716138089346
10,0.3,5.0,0.16,0.24067943800966574
10,0.3,5.0,0.18,0.2315636493995411
10,0.3,5.0,0.2,0.22438541153393263
10,0.3,5.0,0.22,0.22187831288548215
10,0.3,5.0,0.24,0.21735414535245362
10,0.3,5.0,0.26,0.20663134277651404
10,0.3,5.0,0.28,0.20829250143037414
10,0.3,5.0,0.3,0.2084535243247855
10,0.3,5.0,0.32,0.21062404332210535
10,0.3,5.0,0.34,0.21516594663841893
10,0.3,5.0,0.36,0.21654586056472697
10,0.3,5.0,0.38,0.22311177583645864
10,0.3,5.0,0.4,0.22446726533472094
10,0.3,5.0,0.42,0.2441237539397609
10,0.3,5.0,0.44,0.2516955772378593
10,0.3,5.0,0.46,0.24909929370020054
10,0.3,5.0,0.48,0.24209625937022863
10,0.3,5.0,0.5,0.24119310698616395
10,0.3,5.0,0.52,0.24183946859630104
10,0.3,5.0,0.54,0.24343618076816206
10,0.3,5.0,0.56,0.2403172007803362
10,0.3,5.0,0.58,0.23848777720469932
10,0.3,5.0,0.6,0.23688447556672554
10,0.3,5.0,0.62,0.23335051901099804
10,0.3,5.0,0.64,0.23341521094992468
10,0.3,5.0,0.66,0.233742850518186
10,0.3,5.0,0.68,0.22697082987643438
10,0.3,5.0,0.7000000000000001,0.2234935407321689
10,0.3,5.0,0.72,0.22224518393844775
10,0.3,5.0,0.74,0.22722551888673287
10,0.3,10.0,0.0,0.3375169680200563
10,0.3,10.0,0.02,0.329253093788323
10,0.3,10.0,0.04,0.34978943403751356
10,0.3,10.0,0.06,0.35125733235275075
10,0.3,10.0,0.08,0.3271190328036779
10,0.3,10.0,0.1,0.317199534449495
10,0.3,10.0,0.12,0.29641227480087595
10,0.3,10.0,0.14,0.27988843999725416
10,0.3,10.0,0.16,0.26987345821983516
10,0.3,10.0,0.18,0.26852156671832783
10,0.3,10.0,0.2,0.2685114858101866
10,0.3,10.0,0.22,0.26401133949061517
10,0.3,10.0,0.24,0.2608669339553116
10,0.3,10.0,0.26,0.25259065123629987
10,0.3,10.0,0.28,0.2514179120542883
10,0.3,10.0,0.3,0.24604374713552735
10,0.3,10.0,0.32,0.24139940159773013
10,0.3,10.0,0.34,0.2479397846634169
10,0.3,10.0,0.36,0.2506583353893148
10,0.3,10.0,0.38,0.2515651336339552
10,0.3,10.0,0.4,0.24481425329464185
10,0.3,10.0,0.42,0.2413450479253801
10,0.3,10.0,0.44,0.23535858240539012
10,0.3,10.0,0.46,0.23706449612541375
10,0.3,10.0,0.48,0.234458846501547
10,0.3,10.0,0.5,0.23376414635202616
10,0.3,10.0,0.52,0.23315714715371802
10,0.3,10.0,0.54,0.23117437214427897
10,0.3,10.0,0.56,0.22983572253339982
10,0.3,10.0,0.58,0.23143844591583745
10,0.3,10.0,0.6,0.22954276075818453
10,0.3,10.0,0.62,0.22223893071401057
10,0.3,10.0,0.64,0.22180279058816363
10,0.3,10.0,0.66,0.22691077868882037
10,0.3,10.0,0.68,0.23470053760582077
10,0.3,10.0,0.7000000000000001,0.22967006363125386
10,0.3,10.0,0.72,0.2273200336844085
10,0.3,10.0,0.74,0.22813646388547573
10,0.3,15.0,0.0,0.34456242227680106
10,0.3,15.0,0.02,0.3277620297229146
