p,D,seed,DX,D_diff,time,abs_theta
0.0,0.0,10,0.03571428571428571,10.0,0.0,0.057983700186014175
0.0,0.0,10,0.03571428571428571,10.0,0.01,0.4082361161708832
0.0,0.0,10,0.03571428571428571,10.0,0.02,0.5264788866043091
0.0,0.0,10,0.03571428571428571,10.0,0.03,0.12693780660629272
0.0,0.0,10,0.03571428571428571,10.0,0.04,0.004222147166728973
0.0,0.0,10,0.03571428571428571,10.0,0.05,0.04780244082212448
0.0,0.0,10,0.03571428571428571,10.0,0.06,0.09169463813304901
0.0,0.0,10,0.03571428571428571,10.0,0.07,0.06321460753679276
0.0,0.0,10,0.03571428571428571,10.0,0.08,0.32214298844337463
0.0,0.0,10,0.03571428571428571,10.0,0.09,0.34165170788764954
0.0,0.0,10,0.03571428571428571,10.0,0.1,0.05182414874434471
0.0,0.0,10,0.03571428571428571,10.0,0.11,0.22258290648460388
0.0,0.0,10,0.03571428571428571,10.0,0.12,0.05042903497815132
0.0,0.0,10,0.03571428571428571,10.0,0.13,0.33778640627861023
0.0,0.0,10,0.03571428571428571,10.0,0.14,0.44226741790771484
0.0,0.0,10,0.03571428571428571,10.0,0.15,0.4640395939350128
0.0,0.0,10,0.03571428571428571,10.0,0.16,0.7087624073028564
0.0,0.0,10,0.03571428571428571,10.0,0.17,0.727778971195221
0.0,0.0,10,0.03571428571428571,10.0,0.18,0.6296957731246948
0.0,0.0,10,0.03571428571428571,10.0,0.19,0.5671916007995605
0.0,0.0,10,0.03571428571428571,10.0,0.2,0.5418691635131836
0.0,0.0,10,0.03571428571428571,10.0,0.21,0.5349534749984741
0.0,0.0,10,0.03571428571428571,10.0,0.22,0.5749062299728394
0.0,0.0,10,0.03571428571428571,10.0,0.23,0.5501350164413452
0.0,0.0,10,0.03571428571428571,10.0,0.24,0.5565152764320374
0.0,0.0,10,0.03571428571428571,10.0,0.25,0.018352678045630455
0.0,0.0,10,0.03571428571428571,10.0,0.26,0.26747918128967285
0.0,0.0,10,0.03571428571428571,10.0,0.27,0.029039140790700912
0.0,0.0,10,0.03571428571428571,10.0,0.28,0.05082664266228676
0.0,0.0,10,0.03571428571428571,10.0,0.29,0.08240613341331482
0.0,0.0,10,0.03571428571428571,10.0,0.3,0.35931164026260376
0.0,0.0,10,0.03571428571428571,10.0,0.31,0.50433748960495
0.0,0.0,10,0.03571428571428571,10.0,0.32,0.5758731961250305
0.0,0.0,10,0.03571428571428571,10.0,0.33,0.5741283893585205
0.0,0.0,10,0.03571428571428571,10.0,0.34,0.5793584585189819
0.0,0.0,10,0.03571428571428571,10.0,0.35000000000000003,0.5471140742301941
0.0,0.0,10,0.03571428571428571,10.0,0.36,0.46592429280281067
0.0,0.0,10,0.03571428571428571,10.0,0.37,0.2755950391292572
0.0,0.0,10,0.03571428571428571,10.0,0.38,0.04250146076083183
0.0,0.0,10,0.03571428571428571,10.0,0.39,0.3440976142883301
0.0,0.0,10,0.03571428571428571,10.0,0.4,0.41570618748664856
0.0,0.0,10,0.03571428571428571,10.0,0.41000000000000003,0.31672191619873047
0.0,0.0,10,0.03571428571428571,10.0,0.42,0.1786712110042572
0.0,0.0,10,0.03571428571428571,10.0,0.43,0.33844029903411865
0.0,0.0,10,0.03571428571428571,10.0,0.44,0.4552820920944214
0.0,0.0,10,0.03571428571428571,10.0,0.45,0.4574702978134155
0.0,0.0,10,0.03571428571428571,10.0,0.46,0.45396241545677185
0.0,0.0,10,0.03571428571428571,10.0,0.47000000000000003,0.4661872088909149
0.0,0.0,10,0.03571428571428571,10.0,0.48,0.4680287837982178
0.0,0.0,10,0.03571428571428571,10.0,0.49,0.4691745638847351
0.0,0.0,10,0.03571428571428571,10.0,0.5,0.43793895840644836
0.0,0.0,10,0.03571428571428571,10.0,0.51,0.657505989074707
0.0,0.0,10,0.03571428571428571,10.0,0.52,0.8522751927375793
0.0,0.0,10,0.03571428571428571,10.0,0.53,0.8544423580169678
0.0,0.0,10,0.03571428571428571,10.0,0.54,0.7508248686790466
0.0,0.0,10,0.03571428571428571,10.0,0.55,0.6674341559410095
0.0,0.0,10,0.03571428571428571,10.0,0.56,0.6684150099754333
0.0,0.0,10,0.03571428571428571,10.0,0.5700000000000001,0.6434111595153809
0.0,0.0,10,0.03571428571428571,10.0,0.58,0.6725914478302002
0.0,0.0,10,0.03571428571428571,10.0,0.59,0.7203558683395386
0.0,0.0,10,0.03571428571428571,10.0,0.6,0.7273745536804199
0.0,0.0,10,0.03571428571428571,10.0,0.61,0.8965001702308655
0.0,0.0,10,0.03571428571428571,10.0,0.62,1.1307988166809082
0.0,0.0,10,0.03571428571428571,10.0,0.63,1.1123112440109253
0.0,0.0,10,0.03571428571428571,10.0,0.64,1.1037150621414185
0.0,0.0,10,0.03571428571428571,10.0,0.65,1.099889874458313
0.0,0.0,10,0.03571428571428571,10.0,0.66,0.773964524269104
0.0,0.0,10,0.03571428571428571,10.0,0.67,0.22858558595180511
0.0,0.0,10,0.03571428571428571,10.0,0.68,0.06913688778877258
0.0,0.0,10,0.03571428571428571,10.0,0.6900000000000001,0.39353421330451965
0.0,0.0,10,0.03571428571428571,10.0,0.7000000000000001,0.4896854758262634
0.0,0.0,10,0.03571428571428571,10.0,0.71,0.48804405331611633
0.0,0.0,10,0.03571428571428571,10.0,0.72,0.4881528317928314
0.0,0.0,10,0.03571428571428571,10.0,0.73,0.6014143824577332
0.0,0.0,10,0.03571428571428571,10.0,0.74,0.7210158705711365
0.0,0.0,10,0.03571428571428571,10.0,0.75,0.8040187358856201
0.0,0.0,10,0.03571428571428571,100.0,0.0,0.057983700186014175
0.0,0.0,10,0.03571428571428571,100.0,0.01,0.07697772234678268
0.0,0.0,10,0.03571428571428571,100.0,0.02,0.5179407596588135
0.0,0.0,10,0.03571428571428571,100.0,0.03,0.5648744702339172
0.0,0.0,10,0.03571428571428571,100.0,0.04,0.6097183227539062
0.0,0.0,10,0.03571428571428571,100.0,0.05,0.6392309069633484
0.0,0.0,10,0.03571428571428571,100.0,0.06,0.63067626953125
0.0,0.0,10,0.03571428571428571,100.0,0.07,0.42939722537994385
0.0,0.0,10,0.03571428571428571,100.0,0.08,0.06436609476804733
0.0,0.0,10,0.03571428571428571,100.0,0.09,0.047680553048849106
0.0,0.0,10,0.03571428571428571,100.0,0.1,0.22758153080940247
0.0,0.0,10,0.03571428571428571,100.0,0.11,0.27198418974876404
0.0,0.0,10,0.03571428571428571,100.0,0.12,0.2695881426334381
0.0,0.0,10,0.03571428571428571,100.0,0.13,0.14472556114196777
0.0,0.0,10,0.03571428571428571,100.0,0.14,0.4436975419521332
0.0,0.0,10,0.03571428571428571,100.0,0.15,0.6927174925804138
0.0,0.0,10,0.03571428571428571,100.0,0.16,0.9267999529838562
0.0,0.0,10,0.03571428571428571,100.0,0.17,1.1891820430755615
0.0,0.0,10,0.03571428571428571,100.0,0.18,1.5017009973526
0.0,0.0,10,0.03571428571428571,100.0,0.19,1.6608788967132568
0.0,0.0,10,0.03571428571428571,100.0,0.2,1.6758226156234741
0.0,0.0,10,0.03571428571428571,100.0,0.21,1.7008750438690186
0.0,0.0,10,0.03571428571428571,100.0,0.22,1.7428489923477173
0.0,0.0,10,0.03571428571428571,100.0,0.23,1.8376544713974
0.0,0.0,10,0.03571428571428571,100.0,0.24,1.8621054887771606
0.0,0.0,10,0.03571428571428571,100.0,0.25,1.8904780149459839
0.0,0.0,10,0.03571428571428571,100.0,0.26,1.926715612411499
0.0,0.0,10,0.03571428571428571,100.0,0.27,1.907186508178711
0.0,0.0,10,0.03571428571428571,100.0,0.28,1.8612332344055176
0.0,0.0,10,0.03571428571428571,100.0,0.29,1.8952083587646484
0.0,0.0,10,0.03571428571428571,100.0,0.3,1.9135184288024902
0.0,0.0,10,0.03571428571428571,100.0,0.31,1.910963773727417
0.0,0.0,10,0.03571428571428571,100.0,0.32,1.9069634675979614
0.0,0.0,10,0.03571428571428571,100.0,0.33,1.8805148601531982
0.0,0.0,10,0.03571428571428571,100.0,0.34,1.846813678741455
0.0,0.0,10,0.03571428571428571,100.0,0.35000000000000003,1.8590341806411743
0.0,0.0,10,0.03571428571428571,100.0,0.36,1.8612724542617798
0.0,0.0,10,0.03571428571428571,100.0,0.37,1.8309717178344727
0.0,0.0,10,0.03571428571428571,100.0,0.38,1.7807481288909912
0.0,0.0,10,0.03571428571428571,100.0,0.39,1.7829493284225464
0.0,0.0,10,0.03571428571428571,100.0,0.4,1.8057925701141357
0.0,0.0,10,0.03571428571428571,100.0,0.41000000000000003,1.8166134357452393
0.0,0.0,10,0.03571428571428571,100.0,0.42,1.841312050819397
0.0,0.0,10,0.03571428571428571,100.0,0.43,1.8726462125778198
0.0,0.0,10,0.03571428571428571,100.0,0.44,1.8135591745376587
0.0,0.0,10,0.03571428571428571,100.0,0.45,1.6773319244384766
0.0,0.0,10,0.03571428571428571,100.0,0.46,1.7165212631225586
0.0,0.0,10,0.03571428571428571,100.0,0.47000000000000003,1.785585880279541
0.0,0.0,10,0.03571428571428571,100.0,0.48,1.6861960887908936
0.0,0.0,10,0.03571428571428571,100.0,0.49,1.60257887840271
0.0,0.0,10,0.03571428571428571,100.0,0.5,1.607694387435913
0.0,0.0,10,0.03571428571428571,100.0,0.51,1.5621131658554077
0.0,0.0,10,0.03571428571428571,100.0,0.52,1.4910249710083008
0.0,0.0,10,0.03571428571428571,100.0,0.53,1.5259507894515991
0.0,0.0,10,0.03571428571428571,100.0,0.54,1.4439195394515991
0.0,0.0,10,0.03571428571428571,100.0,0.55,1.4432207345962524
0.0,0.0,10,0.03571428571428571,100.0,0.56,1.6138724088668823
0.0,0.0,10,0.03571428571428571,100.0,0.5700000000000001,1.764662742614746
0.0,0.0,10,0.03571428571428571,100.0,0.58,1.744981050491333
0.0,0.0,10,0.03571428571428571,100.0,0.59,1.7364286184310913
0.0,0.0,10,0.03571428571428571,100.0,0.6,1.7946572303771973
0.0,0.0,10,0.03571428571428571,100.0,0.61,1.8342748880386353
0.0,0.0,10,0.03571428571428571,100.0,0.62,1.780229091644287
0.0,0.0,10,0.03571428571428571,100.0,0.63,1.7301536798477173
0.0,0.0,10,0.03571428571428571,100.0,0.64,1.715415358543396
0.0,0.0,10,0.03571428571428571,100.0,0.65,1.7091230154037476
0.0,0.0,10,0.03571428571428571,100.0,0.66,1.7083293199539185
0.0,0.0,10,0.03571428571428571,100.0,0.67,1.7465754747390747
0.0,0.0,10,0.03571428571428571,100.0,0.68,1.7218726873397827
0.0,0.0,10,0.03571428571428571,100.0,0.6900000000000001,1.7131848335266113
0.0,0.0,10,0.03571428571428571,100.0,0.7000000000000001,1.7122834920883179
0.0,0.0,10,0.03571428571428571,100.0,0.71,1.7119879722595215
0.0,0.0,10,0.03571428571428571,100.0,0.72,1.7117457389831543
0.0,0.0,10,0.03571428571428571,100.0,0.73,1.711505651473999
0.0,0.0,10,0.03571428571428571,100.0,0.74,1.7112631797790527
0.0,0.0,10,0.03571428571428571,100.0,0.75,1.7110174894332886
