p,D,seed,DX,D_diff,time,abs_theta
3.0,0.0,10,0.03571428571428571,0.0,0.0,0.06418705731630325
3.0,0.0,10,0.03571428571428571,0.0,0.01,0.32912951707839966
3.0,0.0,10,0.03571428571428571,0.0,0.02,0.003922304604202509
3.0,0.0,10,0.03571428571428571,0.0,0.03,0.0425177663564682
3.0,0.0,10,0.03571428571428571,0.0,0.04,0.11721339076757431
3.0,0.0,10,0.03571428571428571,0.0,0.05,0.5113918781280518
3.0,0.0,10,0.03571428571428571,0.0,0.06,0.5842926502227783
3.0,0.0,10,0.03571428571428571,0.0,0.07,0.32315582036972046
3.0,0.0,10,0.03571428571428571,0.0,0.08,0.12890897691249847
3.0,0.0,10,0.03571428571428571,0.0,0.09,0.2108726054430008
3.0,0.0,10,0.03571428571428571,0.0,0.1,0.7524863481521606
3.0,0.0,10,0.03571428571428571,0.0,0.11,1.1669344902038574
3.0,0.0,10,0.03571428571428571,0.0,0.12,1.2884303331375122
3.0,0.0,10,0.03571428571428571,0.0,0.13,1.1238441467285156
3.0,0.0,10,0.03571428571428571,0.0,0.14,0.8638412952423096
3.0,0.0,10,0.03571428571428571,0.0,0.15,0.6018104553222656
3.0,0.0,10,0.03571428571428571,0.0,0.16,0.5353649258613586
3.0,0.0,10,0.03571428571428571,0.0,0.17,0.7157197594642639
3.0,0.0,10,0.03571428571428571,0.0,0.18,0.6429464221000671
3.0,0.0,10,0.03571428571428571,0.0,0.19,0.4454173147678375
3.0,0.0,10,0.03571428571428571,0.0,0.2,0.07807780057191849
3.0,0.0,10,0.03571428571428571,0.0,0.21,0.03787265717983246
3.0,0.0,10,0.03571428571428571,0.0,0.22,0.1722344160079956
3.0,0.0,10,0.03571428571428571,0.0,0.23,0.32383424043655396
3.0,0.0,10,0.03571428571428571,0.0,0.24,0.34172311425209045
3.0,0.0,10,0.03571428571428571,0.0,0.25,0.5694357752799988
3.0,0.0,10,0.03571428571428571,0.0,0.26,0.4982222616672516
3.0,0.0,10,0.03571428571428571,0.0,0.27,1.027075171470642
3.0,0.0,10,0.03571428571428571,0.0,0.28,1.3691776990890503
3.0,0.0,10,0.03571428571428571,0.0,0.29,1.4583336114883423
3.0,0.0,10,0.03571428571428571,0.0,0.3,1.2606489658355713
3.0,0.0,10,0.03571428571428571,0.0,0.31,0.8925786018371582
3.0,0.0,10,0.03571428571428571,0.0,0.32,0.42212364077568054
3.0,0.0,10,0.03571428571428571,0.0,0.33,0.18682248890399933
3.0,0.0,10,0.03571428571428571,0.0,0.34,0.09960583597421646
3.0,0.0,10,0.03571428571428571,0.0,0.35000000000000003,0.01954803615808487
3.0,0.0,10,0.03571428571428571,0.0,0.36,0.009085229597985744
3.0,0.0,10,0.03571428571428571,0.0,0.37,0.24244524538516998
3.0,0.0,10,0.03571428571428571,0.0,0.38,0.48330411314964294
3.0,0.0,10,0.03571428571428571,0.0,0.39,0.11674068868160248
3.0,0.0,10,0.03571428571428571,0.0,0.4,0.08580231666564941
3.0,0.0,10,0.03571428571428571,0.0,0.41000000000000003,0.041058484464883804
3.0,0.0,10,0.03571428571428571,0.0,0.42,0.2961486577987671
3.0,0.0,10,0.03571428571428571,0.0,0.43,0.4524326026439667
3.0,0.0,10,0.03571428571428571,0.0,0.44,0.11882371455430984
3.0,0.0,10,0.03571428571428571,0.0,0.45,0.2922934591770172
3.0,0.0,10,0.03571428571428571,0.0,0.46,0.5416879653930664
3.0,0.0,10,0.03571428571428571,0.0,0.47000000000000003,0.9409151673316956
3.0,0.0,10,0.03571428571428571,0.0,0.48,1.255882740020752
3.0,0.0,10,0.03571428571428571,0.0,0.49,1.3839448690414429
3.0,0.0,10,0.03571428571428571,0.0,0.5,1.3911596536636353
3.0,0.0,10,0.03571428571428571,0.0,0.51,1.3291465044021606
3.0,0.0,10,0.03571428571428571,0.0,0.52,1.2501083612442017
3.0,0.0,10,0.03571428571428571,0.0,0.53,1.1261342763900757
3.0,0.0,10,0.03571428571428571,0.0,0.54,1.1347931623458862
3.0,0.0,10,0.03571428571428571,0.0,0.55,1.1395595073699951
3.0,0.0,10,0.03571428571428571,0.0,0.56,0.9818277359008789
3.0,0.0,10,0.03571428571428571,0.0,0.5700000000000001,0.6535302400588989
3.0,0.0,10,0.03571428571428571,0.0,0.58,0.5983496308326721
3.0,0.0,10,0.03571428571428571,0.0,0.59,0.3576478660106659
3.0,0.0,10,0.03571428571428571,0.0,0.6,0.18232493102550507
3.0,0.0,10,0.03571428571428571,0.0,0.61,0.48597919940948486
3.0,0.0,10,0.03571428571428571,0.0,0.62,0.6176268458366394
3.0,0.0,10,0.03571428571428571,0.0,0.63,0.7222354412078857
3.0,0.0,10,0.03571428571428571,0.0,0.64,0.1423989236354828
3.0,0.0,10,0.03571428571428571,0.0,0.65,0.23816370964050293
3.0,0.0,10,0.03571428571428571,0.0,0.66,0.32058703899383545
3.0,0.0,10,0.03571428571428571,0.0,0.67,0.5455827713012695
3.0,0.0,10,0.03571428571428571,0.0,0.68,0.8367608189582825
3.0,0.0,10,0.03571428571428571,0.0,0.6900000000000001,0.902694046497345
3.0,0.0,10,0.03571428571428571,0.0,0.7000000000000001,0.7504706382751465
3.0,0.0,10,0.03571428571428571,0.0,0.71,0.7738686800003052
3.0,0.0,10,0.03571428571428571,0.0,0.72,0.6687719821929932
3.0,0.0,10,0.03571428571428571,0.0,0.73,0.6603421568870544
3.0,0.0,10,0.03571428571428571,0.0,0.74,0.5449705123901367
3.0,0.0,10,0.03571428571428571,0.0,0.75,0.5732588768005371
3.0,0.0,10,0.03571428571428571,5.0,0.0,0.38260579109191895
3.0,0.0,10,0.03571428571428571,5.0,0.01,0.26828324794769287
3.0,0.0,10,0.03571428571428571,5.0,0.02,0.028403690084815025
