seed,DX,D_diff,time,error
10,0.2,0.0,0.0,0.3892198932485389
10,0.2,0.0,0.02,0.3555030497639153
10,0.2,0.0,0.04,0.3218830889764098
10,0.2,0.0,0.06,0.34455145157914846
10,0.2,0.0,0.08,0.33708679303203415
10,0.2,0.0,0.1,0.32308935091008595
10,0.2,0.0,0.12,0.3109916217640694
10,0.2,0.0,0.14,0.2983274804826407
10,0.2,0.0,0.16,0.29364055143612755
10,0.2,0.0,0.18,0.28581926484625864
10,0.2,0.0,0.2,0.2825236778856938
10,0.2,0.0,0.22,0.2826639758580522
10,0.2,0.0,0.24,0.2846842943200341
10,0.2,0.0,0.26,0.28514951654551834
10,0.2,0.0,0.28,0.2885136444357729
10,0.2,0.0,0.3,0.2907537718763814
10,0.2,0.0,0.32,0.2902146153397274
10,0.2,0.0,0.34,0.2988730683633144
10,0.2,0.0,0.36,0.29324223579927655
10,0.2,0.0,0.38,0.2877920791853163
10,0.2,0.0,0.4,0.2793739008880686
10,0.2,0.0,0.42,0.2750934969891547
10,0.2,0.0,0.44,0.27587694148125513
10,0.2,0.0,0.46,0.2780915245470987
10,0.2,0.0,0.48,0.2758192594331302
10,0.2,0.0,0.5,0.2781194585747547
10,0.2,0.0,0.52,0.2828644389058165
10,0.2,0.0,0.54,0.28323627874099006
10,0.2,0.0,0.56,0.28013515134824357
10,0.2,0.0,0.58,0.27565951982831294
10,0.2,0.0,0.6,0.27876185489414756
10,0.2,0.0,0.62,0.27583405192894694
10,0.2,0.0,0.64,0.28004696656343897
10,0.2,0.0,0.66,0.2840800154396935
10,0.2,0.0,0.68,0.291112619161011
10,0.2,0.0,0.7000000000000001,0.28522529524129386
10,0.2,0.0,0.72,0.2799081385255567
10,0.2,0.0,0.74,0.2852634169954389
10,0.2,5.0,0.0,0.3937177937517037
10,0.2,5.0,0.02,0.35033729797920393
10,0.2,5.0,0.04,0.3414596123146305
10,0.2,5.0,0.06,0.3340379203455174
10,0.2,5.0,0.08,0.32027970681315554
10,0.2,5.0,0.1,0.2998899399036784
10,0.2,5.0,0.12,0.29438704182103537
10,0.2,5.0,0.14,0.29128862246675674
10,0.2,5.0,0.16,0.28832201133024377
10,0.2,5.0,0.18,0.27784007578616954
10,0.2,5.0,0.2,0.27408119493411104
10,0.2,5.0,0.22,0.27015536588643047
10,0.2,5.0,0.24,0.2658472834659898
10,0.2,5.0,0.26,0.2660438937284667
10,0.2,5.0,0.28,0.26109758600479677
10,0.2,5.0,0.3,0.2605622868766773
10,0.2,5.0,0.32,0.26319157066972004
10,0.2,5.0,0.34,0.2579602346629958
10,0.2,5.0,0.36,0.25150470824465243
10,0.2,5.0,0.38,0.25142438334696315
10,0.2,5.0,0.4,0.25426604372004613
10,0.2,5.0,0.42,0.2504518842456845
10,0.2,5.0,0.44,0.24999223849210922
10,0.2,5.0,0.46,0.25250843101075915
10,0.2,5.0,0.48,0.2545627571840321
10,0.2,5.0,0.5,0.2528887097402239
10,0.2,5.0,0.52,0.2510693786559824
10,0.2,5.0,0.54,0.25754166326965044
10,0.2,5.0,0.56,0.2574439005485022
10,0.2,5.0,0.58,0.2530103047728638
10,0.2,5.0,0.6,0.25160284150387124
10,0.2,5.0,0.62,0.24938151669866265
10,0.2,5.0,0.64,0.2477093386198006
10,0.2,5.0,0.66,0.25500037039947715
10,0.2,5.0,0.68,0.25149690031106553
10,0.2,5.0,0.7000000000000001,0.24155648504033486
10,0.2,5.0,0.72,0.23662876758955628
10,0.2,5.0,0.74,0.24139516050762114
10,0.2,10.0,0.0,0.3917429563746564
