seed,DX,D_diff,time,error
10,0.15,0.0,0.0,0.41328188412263955
10,0.15,0.0,0.02,0.377899058697927
10,0.15,0.0,0.04,0.3622698452202866
10,0.15,0.0,0.06,0.35046504456378685
10,0.15,0.0,0.08,0.3372359403621081
10,0.15,0.0,0.1,0.3378431164145201
10,0.15,0.0,0.12,0.33592148257567306
10,0.15,0.0,0.14,0.3281518453371581
10,0.15,0.0,0.16,0.3159025389057486
10,0.15,0.0,0.18,0.3195651468929464
10,0.15,0.0,0.2,0.3203712514670881
10,0.15,0.0,0.22,0.3234385457387667
10,0.15,0.0,0.24,0.3206264963997655
10,0.15,0.0,0.26,0.3142904123823416
10,0.15,0.0,0.28,0.320822374285422
10,0.15,0.0,0.3,0.312833091413736
10,0.15,0.0,0.32,0.3051878654795248
10,0.15,0.0,0.34,0.3090729319453532
10,0.15,0.0,0.36,0.3098776760779077
10,0.15,0.0,0.38,0.32009699889621906
10,0.15,0.0,0.4,0.32335855025202676
10,0.15,0.0,0.42,0.3248862245916263
10,0.15,0.0,0.44,0.3232744995344781
10,0.15,0.0,0.46,0.3192224079487478
10,0.15,0.0,0.48,0.31952919794786666
10,0.15,0.0,0.5,0.32472884291422405
10,0.15,0.0,0.52,0.3248014077971907
10,0.15,0.0,0.54,0.3215445450363739
10,0.15,0.0,0.56,0.3168317237692303
10,0.15,0.0,0.58,0.3150398094406987
10,0.15,0.0,0.6,0.3116835753208332
10,0.15,0.0,0.62,0.3146349700576252
10,0.15,0.0,0.64,0.3080881350483541
10,0.15,0.0,0.66,0.3122347805409542
10,0.15,0.0,0.68,0.32301324751506116
10,0.15,0.0,0.7000000000000001,0.32448333470728263
10,0.15,0.0,0.72,0.32118934456432174
10,0.15,0.0,0.74,0.3171905876766994
10,0.15,5.0,0.0,0.4276823767513172
10,0.15,5.0,0.02,0.37507973146298035
10,0.15,5.0,0.04,0.3704547735770628
10,0.15,5.0,0.06,0.37267389278129903
10,0.15,5.0,0.08,0.37604973043981316
10,0.15,5.0,0.1,0.38728253839665094
10,0.15,5.0,0.12,0.39124735387737886
10,0.15,5.0,0.14,0.39295858771946746
10,0.15,5.0,0.16,0.39253421259170623
10,0.15,5.0,0.18,0.3760293579245305
10,0.15,5.0,0.2,0.35423446319894497
10,0.15,5.0,0.22,0.35050992212125603
10,0.15,5.0,0.24,0.3461774973026273
10,0.15,5.0,0.26,0.33416983899665975
10,0.15,5.0,0.28,0.32882734948936
10,0.15,5.0,0.3,0.3240742658796937
10,0.15,5.0,0.32,0.3130993141438711
10,0.15,5.0,0.34,0.31338946348099134
10,0.15,5.0,0.36,0.3028310282609443
10,0.15,5.0,0.38,0.3018340404376854
10,0.15,5.0,0.4,0.29607997836865
10,0.15,5.0,0.42,0.2899881530455146
10,0.15,5.0,0.44,0.2863877466253281
10,0.15,5.0,0.46,0.2843730830888224
10,0.15,5.0,0.48,0.28309884603349905
10,0.15,5.0,0.5,0.2792715764336422
10,0.15,5.0,0.52,0.2783332295013955
10,0.15,5.0,0.54,0.2777126536518872
10,0.15,5.0,0.56,0.2788120069888436
10,0.15,5.0,0.58,0.27983948974761175
10,0.15,5.0,0.6,0.2850362829944645
10,0.15,5.0,0.62,0.28437207545632764
10,0.15,5.0,0.64,0.27844544816498207
10,0.15,5.0,0.66,0.2759503556440111
10,0.15,5.0,0.68,0.28143597774790363
10,0.15,5.0,0.7000000000000001,0.28493397048088703
10,0.15,5.0,0.72,0.28508101580024936
10,0.15,5.0,0.74,0.28094345242326385
10,0.15,10.0,0.0,0.41133868689160896
10,0.15,10.0,0.02,0.3745353167687829
10,0.15,10.0,0.04,0.36497689128476507
10,0.15,10.0,0.06,0.34241769954659973
10,0.15,10.0,0.08,0.3510874026001216
10,0.15,10.0,0.1,0.35595597326823236
10,0.15,10.0,0.12,0.34168347756466605
10,0.15,10.0,0.14,0.33045614136083634
10,0.15,10.0,0.16,0.3272239614067023
10,0.15,10.0,0.18,0.3301286084088192
10,0.15,10.0,0.2,0.35406784748163944
10,0.15,10.0,0.22,0.35292898764937825
10,0.15,10.0,0.24,0.3411343532341048
10,0.15,10.0,0.26,0.32694498020186324
10,0.15,10.0,0.28,0.32614508255537417
10,0.15,10.0,0.3,0.3199412209237123
10,0.15,10.0,0.32,0.31780695876941223
10,0.15,10.0,0.34,0.32086063716040686
10,0.15,10.0,0.36,0.3185475647097595
10,0.15,10.0,0.38,0.31440122554034616
10,0.15,10.0,0.4,0.31221349844286217
10,0.15,10.0,0.42,0.3078177505491825
10,0.15,10.0,0.44,0.30748279530800143
10,0.15,10.0,0.46,0.31076769248215164
10,0.15,10.0,0.48,0.3101433123371941
10,0.15,10.0,0.5,0.31357943762946633
10,0.15,10.0,0.52,0.31410738748811995
10,0.15,10.0,0.54,0.3140730895726296
10,0.15,10.0,0.56,0.313772287737523
10,0.15,10.0,0.58,0.3055656655949004
10,0.15,10.0,0.6,0.3146710031488514
10,0.15,10.0,0.62,0.318844452147053
10,0.15,10.0,0.64,0.31658636504017906
10,0.15,10.0,0.66,0.31636808388485366
10,0.15,10.0,0.68,0.31812369218231923
10,0.15,10.0,0.7000000000000001,0.3175332931415945
10,0.15,10.0,0.72,0.32052721483815455
10,0.15,10.0,0.74,0.32183730031396907
10,0.15,15.0,0.0,0.42243570068298164
10,0.15,15.0,0.02,0.41423330833008126
10,0.15,15.0,0.04,0.385071514824683
10,0.15,15.0,0.06,0.37295468597506926
10,0.15,15.0,0.08,0.4054783203308642
10,0.15,15.0,0.1,0.4021058067334415
10,0.15,15.0,0.12,0.4115421005324972
10,0.15,15.0,0.14,0.4110147352177559
10,0.15,15.0,0.16,0.4158782212090069
10,0.15,15.0,0.18,0.41872650135499473
10,0.15,15.0,0.2,0.41579125005633005
10,0.15,15.0,0.22,0.41527342140666235
10,0.15,15.0,0.24,0.41148245753668006
10,0.15,15.0,0.26,0.40210355117030505
10,0.15,15.0,0.28,0.3992191274842444
10,0.15,15.0,0.3,0.4033037898240045
10,0.15,15.0,0.32,0.39492896756455503
10,0.15,15.0,0.34,0.3922759506756315
10,0.15,15.0,0.36,0.3997606068575713
10,0.15,15.0,0.38,0.3943705734342288
10,0.15,15.0,0.4,0.38501155340171117
10,0.15,15.0,0.42,0.38316207800740204
10,0.15,15.0,0.44,0.38586988262457217
10,0.15,15.0,0.46,0.38372693882572334
10,0.15,15.0,0.48,0.37692419798516963
10,0.15,15.0,0.5,0.37315693940736705
10,0.15,15.0,0.52,0.3695030561925559
10,0.15,15.0,0.54,0.36569710340139777
10,0.15,15.0,0.56,0.3777084741135948
10,0.15,15.0,0.58,0.37720632291216505
10,0.15,15.0,0.6,0.37995700082161743
10,0.15,15.0,0.62,0.3773658394607425
10,0.15,15.0,0.64,0.36759309154400516
